Name,Energy,Fat,Saturated_fat,Carbohydrate,Sugars,Fiber,Proteins,Salt,Sodium,Alcohol,Zinc,Magnesium,Omega3,Score,Img
Coca Cola original taste — 330 ml,176 kj(42 kcal),0 g,0 g,"10,6 g","10,6 g",0 g,0 g,0 g,0 g,Na,Na,Na,Na,E,_544_900_000_0996_front_es.211.200.jpg
Passata di pomodoro Rustica — Italiamo — 700 g,176 kj(42 kcal),"0,2 g",0 g,"6,6 g",3 g,Na,"2,1 g","0,04 g","0,016 g",Na,Na,Na,Na,A,_20164034_front_fr.9.200.jpg
Nesquik — Nestlé — 1 kg,293 kj(70 kcal),"1,8 g",1 g,"9,8 g","9,5 g","0,4 g","3,6 g","0,14 g","0,055 g",Na,"0,86 mg",Na,Na,Na,_303_371_006_5967_front_fr.80.200.jpg
Bebida de Arroz — Isola Bio — 1 l,238 kj(57 kcal),1 g,"0,1 g",12 g,"5,5 g","0,5 g","0,2 g","0,2 g","0,079 g",Na,Na,Na,Na,B,_802_367_816_1288_front_es.38.200.jpg
Oatly avena cacao bio — 1 l,209 kj(50 kcal),"0,6 g","0,2 g","9,9 g","7,1 g","1,3 g","1,3 g","0,1 g","0,039 g",0 % vol,Na,Na,Na,B,_739_437_661_5870_front_es.10.200.jpg
Espaguetti Sazonador — Hacendado — 45 g,1072 kj(256 kcal),"4,7 g","0,4 g","31,5 g","28,7 g","23,7 g","10,2 g","19,3 g","7,598 g",Na,Na,Na,Na,D,_848_000_034_1341_front_es.21.200.jpg
Veggieburger congeladas Curry con tofu y trigo — Gutbio — 260 g (4 x 65 g),1120 kj(268 kcal),14 g,2 g,24 g,"7,7 g",Na,10 g,"0,91 g","0,358 g",Na,Na,Na,Na,C,_24021692_front_es.7.200.jpg
Tabulé oriental — Casa Morando — 400 g,668 kj(160 kcal),"5,1 g","0,4 g",23 g,"5,3 g",Na,"4,2 g","1,2 g","0,472 g",Na,Na,Na,Na,C,_24053044_front_es.5.200.jpg
Veggie Curry Hindú — GutBio — 250 g,594 kj(142 kcal),"9,2 g","1,1 g","4,8 g","4,8 g",Na,7 g,"1,1 g","0,433 g",Na,Na,Na,Na,C,_200_000_008_2211_front_es.4.200.jpg
Veggie Curry Thai — GutBio — 250 g,618 kj(148 kcal),9 g,4 g,"6,8 g","5,8 g",Na,"6,6 g",1 g,"0,394 g",Na,Na,Na,Na,C,_200_000_008_2212_front_es.4.200.jpg
Veggie Picadillo — GutBio — 200 g,575 kj(137 kcal),"5,6 g","0,6 g","5,9 g","5,1 g",Na,"13,1 g","1,48 g","0,583 g",Na,Na,Na,Na,C,_24087049_front_es.6.200.jpg
Salsa de Tomate Napoletana Bio — Combino — 350 g e / 330 ml,201 kj(48 kcal),"0,9 g","0,1 g","7,6 g","5,8 g",Na,"1,2 g","1,5 g","0,591 g",Na,Na,Na,Na,C,_20163020_front_es.9.200.jpg
Bellarom Clásico/Clássico — 200 g,0 kj(0 kcal),0 g,0 g,0 g,0 g,Na,0 g,0 g,0 g,Na,Na,Na,Na,Na,_20918835_front_fr.20.200.jpg
Turrón Duro — Hacendado — 2 tablettes,2105 kj(503 kcal),33 g,"2,5 g",44 g,38 g,"4,7 g",12 g,"0,03 g","0,012 g",Na,Na,Na,Na,D,_848_000_036_0175_front_fr.9.200.jpg
Muesli croustillant aux éclats de chocolat — Crownfield — 600 g,1879 kj(449 kcal),"16,8 g","6,1 g","61,3 g","19,2 g","7,5 g","9,4 g","0,23 g","0,091 g",Na,Na,Na,Na,D,_20201807_front_fr.18.200.jpg
Figuritas de mazapán — Flor de Navidad — 200 g,2001 kj(478 kcal),24 g,"1,7 g",56 g,56 g,Na,"8,4 g","0,01 g","0,004 g",Na,Na,Na,Na,D,_24086721_front_es.15.200.jpg
Arroz Integral — Nomen — 1 Kg,1460 kj(349 kcal),"2,5 g","0,5 g",72 g,"0,5 g","2,8 g","8,2 g","0,03 g","0,012 g",Na,Na,Na,Na,A,_841_149_511_4677_front_es.14.200.jpg
Garbanzo Blanco Lechoso — El Cultivador — 1 Kg,1489 kj(356 kcal),"6,3 g","0,4 g","45,1 g","2,2 g",Na,21 g,"0,05 g","0,02 g",Na,Na,Na,Na,A,_24050333_front_es.9.200.jpg
Hummus con garbanzos y sésamo — Casa Morando — 200 g,1595 kj(381 kcal),"34,6 g","3,3 g","11,1 g","0,9 g",Na,"6,2 g","1,28 g","0,504 g",Na,Na,Na,Na,D,_24023153_front_es.7.200.jpg
Ovomaltine — 200 g,1544 kj(369 kcal),"1,7 g","0,9 g",76 g,"50,6 g",5 g,"9,9 g","0,5 g","0,197 g",Na,Na,315 mg,Na,E,_761_210_005_4994_front_fr.6.200.jpg
Bebida Avena Nature — Ecomil — 400 g,1774 kj(424 kcal),"9,2 g",1 g,"79,2 g","24,3 g",Na,"4,5 g","0,2 g","0,079 g",Na,Na,Na,Na,C,_842_853_216_0771_front_es.7.200.jpg
Gazpacho — Eroski — 1 L,167 kj(40 kcal),"2,7 g","0,5 g","2,5 g","2,5 g","1,5 g","0,7 g","0,8 g","0,315 g",Na,Na,Na,Na,A,_848_001_004_5994_front_es.16.200.jpg
Espárragos Verdes Primera — Gigante Verde — 330 g (190 g égoutté). 370 ml,88 kj(21 kcal),"0,5 g","0,1 g","1,1 g","0,7 g","1,4 g","2,2 g","0,8 g","0,315 g",Na,Na,Na,Na,A,_841_007_600_1320_front_fr.8.200.jpg
Vichyssoise Puerro y Patata — Sin marca — 620 g,172 kj(41 kcal),1 g,"0,16 g","6,3 g","< 0,1 g",Na,"1,2 g","0,68 g","0,268 g",Na,Na,Na,Na,B,_801_419_001_2479_front_es.6.200.jpg
